[1, 'STAT1 human', 0.0011193900480927833, 48.551219512195125, 329.9041452016375, ['STAT2', 'SMARCA4'], 0.018648422560645365, 0, 0]
[2, 'SIN3A mouse', 0.0041930151049605156, 302.75757575757575, 1657.3964565725007, ['SMARCA4'], 0.018648422560645365, 0, 0]
[3, 'HDAC5 human', 0.00479070309341298, 259.4935064935065, 1385.975083259077, ['SLC2A1'], 0.018648422560645365, 0, 0]
[4, 'HDAC2 mouse', 0.00598509351248777, 201.8080808080808, 1032.9512945731403, ['SMARCA4'], 0.018648422560645365, 0, 0]
[5, 'TRP63 mouse', 0.00598509351248777, 201.8080808080808, 1032.9512945731403, ['SMARCA4'], 0.018648422560645365, 0, 0]
[6, 'NPM1 human', 0.006581796197874835, 181.61818181818182, 912.3494182081016, ['BRD4'], 0.018648422560645365, 0, 0]
[7, 'SP1 mouse', 0.010960611487862548, 14.716417910447761, 66.42177530510159, ['LMNA', 'SLC2A1'], 0.026618627899094756, 0, 0]
[8, 'ATM human', 0.013123899368825872, 86.43722943722943, 374.56020373045595, ['SLC2A1'], 0.02788828615875498, 0, 0]
[9, 'TWIST1 mouse', 0.017266474337105393, 64.8051948051948, 263.043544162992, ['BRD4'], 0.03261445152564352, 0, 0]
[10, 'MYOD1 mouse', 0.029598761568907096, 36.99257884972171, 130.2147194065139, ['SMARCA4'], 0.050317894667142066, 0, 0]
[11, 'BRCA1 human', 0.03367789522880521, 32.357142857142854, 109.72027527854156, ['STAT2'], 0.05182440491941908, 0, 0]
[12, 'CTNNB1 mouse', 0.03658193288429582, 29.69746646795827, 98.24518225287433, ['SLC2A1'], 0.05182440491941908, 0, 0]
[13, 'SP3 mouse', 0.04869174554406601, 22.068736141906875, 66.69714421743119, ['LMNA'], 0.059125691017794434, 0, 0]
[14, 'HIF1A human', 0.04869174554406601, 22.068736141906875, 66.69714421743119, ['SLC2A1'], 0.059125691017794434, 0, 0]
[15, 'JUN mouse', 0.07584918549137858, 13.886713286713286, 35.81394898804782, ['SLC2A1'], 0.08596241022356238, 0, 0]
[16, 'TP53 human', 0.09410566595091076, 11.056887897378695, 26.13115251802758, ['SLC2A1'], 0.09998727007284268, 0, 0]
[17, 'NFKB1 mouse', 0.11364434870559527, 9.040201005025125, 19.659557478207127, ['SLC2A1'], 0.11364434870559527, 0, 0]
